,negative,positive
this,20294,17756
show,1390,1791
proved,49,76
to,34325,33630
be,7241,6262
a,39146,42334
waste,674,50
of,34273,38891
minutes,1099,426
precious,27,24
dvr,1,4
hard,699,650
drive,105,106
space,207,165
i,22999,20716
didn,1307,882
t,10259,7139
expect,286,320
much,2511,2345
and,36813,45240
actually,1258,906
received,45,73
less,546,450
not,8237,7057
only,3401,2618
do,2623,1966
canceled,9,15
by,5282,5981
the,81431,87334
second,475,515
episode,276,523
cannot,289,257
believe,723,553
that,18592,17965
geico,3,0
will,1972,2610
ever,1667,1444
attempt,361,166
use,436,437
cavemen,12,2
ad,42,30
campaign,15,15
again,873,1079
would,3458,2755
have,7525,6342
preferred,11,22
spending,52,18
night,522,537
checking,35,44
my,2964,3324
daughter,282,284
s,15812,16941
hair,145,113
for,10771,11220
head,464,331
lice,1,0
than,2523,2376
watching,1272,1025
piece,445,327
refuse,21,9
wonder,314,199
what,4173,3889
abc,19,58
passed,63,71
on,8536,8616
make,2385,1666
fit,113,137
into,2298,2322
fall,188,204
schedual,1,0
perhaps,399,445
hospital,109,98
crime,147,239
mocumentary,2,2
reality,191,302
featuring,65,76
aflac,1,0
duck,20,15
in,21747,25215
event,87,115
failed,174,59
express,59,58
opinion,214,273
about,4671,4290
let,657,489
me,2715,2592
clear,197,194
say,1459,1203
it,24039,24290
is,24699,29001
too,2033,1903
good,3561,3858
why,1766,988
does,1450,1524
movie,12312,9726
well,2115,3213
below,93,44
standards,95,84
ultimately,133,132
answer,93,78
lies,69,61
poor,680,208
humourless,8,1
script,1009,497
slim,11,11
average,194,142
looking,684,529
travolta,5,21
rather,700,672
dapper,2,1
black,509,512
must,720,878
even,3786,2526
with,10268,11761
huge,234,206
mullet,6,2
gross,52,29
both,551,1143
act,353,268
very,2833,4209
as,10172,13222
two,1603,1906
young,648,1145
ish,20,18
slick,26,25
dressed,65,62
but,10729,10478
nevertheless,31,82
dimwitted,3,3
new,908,1212
yorkers,5,9
eager,19,22
open,162,155
their,2648,3039
own,637,1029
nightclub,6,21
other,2120,2485
rest,538,379
film,9603,10621
just,5317,3543
boring,680,173
watch,1745,1759
so,5717,4658
dull,354,81
really,3129,2769
worth,543,594
knowing,84,143
happens,298,215
climax,97,111
any,2386,1492
level,236,247
kelly,51,194
preston,22,13
obviously,363,233
exudes,6,15
sex,579,303
appeal,113,107
sexually,44,28
charged,13,23
dance,136,239
her,3933,5369
husband,208,273
one,6561,6915
few,1050,987
pleasures,6,10
charles,88,108
martin,85,105
smith,77,170
quite,753,1069
fun,483,873
struggling,55,51
kgb,8,1
honcho,2,0
bob,68,81
personally,94,126
think,1894,1834
been,2519,2127
better,1589,1161
if,4788,3622
plot,2043,1236
was,12977,11062
altered,19,12
little,1510,1635
settings,32,62
did,1740,1417
change,200,264
from,4858,5350
ny,14,16
indian,98,94
springs,4,13
nebraska,1,4
which,2866,3212
former,115,152
soviet,23,37
